url_original,descricao_galeria
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B9156%5D%7B271%7Damonia.png,"Concentração do nitrogênio amoniacal tóxico (mg N-NH3 L-1) e níveis de risco para tilápia-do-nilo em relação ao pH e concentração de amônia total a 28ºC. Bruno Corrêa da Silva, Haluko Massago e Silvano Garcia."
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B9157%5D%7B281%7Dnitrito_1.png,"Amostras de sangue de tilápias. A amostra da esquerda mostra o sangue de um peixe saudável, e a amostra da direita mostra o “sangue “marrom” de um peixe intoxicado por nitrito. Foto: Natalia C. Marchiori"
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B9157%5D%7B294%7Dnitrito.jpg,Tabela de toxicidade do nitritoBruno Corrêa da Silva
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B9162%5D%7B431%7Dcoleta_de_solo.jpg,As amostras devem ser coletadas de modo que represente toda a extensão do viveiro. Foto: Bruno Corrêa da Silva
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B9162%5D%7B43%7Dcalcario_f1.jpg,Cálculo do calcário pelo pH do solo. Foto: Bruno Corrêa da Silva
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B9162%5D%7B330%7Dcalcario_f2.jpg,Cálculo do calcário pela saturação de bases do solo. Foto: Bruno Corrêa da Silva
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B9162%5D%7B334%7Denxada_rotativa.jpg,Incorporação do calcário com enxada rotativa.Foto: Haluko Massago
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B914%5D%7B425%7Dgra1.jpg,Foto 01. null
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B914%5D%7B42%7Dgra2.jpg,Foto 02. null
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B914%5D%7B223%7Dgra3.jpg,Foto 03. null
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B914%5D%7B411%7Dgra4.jpg,Foto 04. null
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B914%5D%7B404%7Dgra5.jpg,Foto 05. null
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B914%5D%7B131%7Dgra6.jpg,Foto 06. null
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B914%5D%7B161%7Dgra7.jpg,Foto 07. null
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B918%5D%7B378%7Dfb_img_1549766156655.jpg,1) Dylla. Evento da Hortitec 2018. null
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B918%5D%7B204%7Dfb_img_1549766162219.jpg,1) Dylla. Evento da Hortitec 2018. null
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B918%5D%7B319%7Dfb_img_1549766159806.jpg,1) Dylla. Evento da Hortitec 2018. null
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B9474%5D%7B16%7Dpreparacao.jpg,Preparação do viveiro. Foto: Haluko Massago
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B9474%5D%7B215%7Dpreparacao_do_solo.png,Cronologia da preparação do solo Bruno Corrêa da Silva
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B9474%5D%7B33%7Dgirino_de_ra.jpg,Girino de rã. Foto: Bruno Corrêa da Silva
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B9474%5D%7B171%7Dodonata_e_barata_d_agua.jpg,Odonata e barata d água. Foto: Bruno Corrêa da Silva
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17909%5D%7B175%7Dfertilizacao_do_viveiro.jpg,Fertilização do viveiro. Foto: Bruno Corrêa da Silva
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17909%5D%7B162%7Dfertilizacao_do_viveiro_3.jpg,Fertilização do viveiro. Foto: Bruno Corrêa da Silva
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17909%5D%7B152%7Dfertilizacao_do_viveiro_2.jpg,Fertilização do viveiro. Foto: Bruno Corrêa da Silva
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17899%5D%7B283%7Drecomendacoes.jpg,Recomendações para monitoramento e qualidade de água.Fonte: Silva et al. (2019) (1)
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17899%5D%7B466%7Dmonitoramento.jpg,"Acompanhamento da análise de água a campo. (A) Leitura da transparência com o disco de Secchi; (B) Leitura do oxigênio e temperatura com oxímetro; (C) Coleta de água do viveiro a um metro de profundidade com garrafa de coleta artesanal; (D) Análises de pH, alcalinidade, amônia e nitrito. Fotos: Haluko Massago."
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17899%5D%7B392%7Dequipamentos.jpg,Equipamentos utilizados na medição dos parâmetros de qualidade de água. (A) Termômetro; (B) Oxímetro digital; (C) Disco de Secchi; (D) Garrafa de coletora de água para amostragem na coluna da água; (E) pHmetro digital; (F) Kit de análise de água. Fotos: Haluko Massago.
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17900%5D%7B518%7Daeradores_1.jpg,Modelo de aerador chafariz utilizado na piscicultura de viveiro escavado. Foto: Bruno Corrêa da Silva
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17900%5D%7B266%7Daeradores_2.jpg,Modelo de aerador tipo pá utilizado na piscicultura de viveiro escavado. Foto: Bruno Corrêa da Silva
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17900%5D%7B202%7Dresultado_aerador.jpg,Resultado de uso de aerador em viveiro raso. Foto: Haluko Massago
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17904%5D%7B221%7Darmazenamento.jpg,Exemplo do armazenamento de ração. Foto: Bruno Corrêa da Silva
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17902%5D%7B225%7Dbiometria_1.jpg,Biometrias e acompanhamento da produção. Foto: Haluko Massago
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17902%5D%7B253%7Dbiometria_2.jpg,Biometrias e acompanhamento da produção. Foto: Haluko Massago
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17902%5D%7B117%7Dbiometria_3.jpg,Biometrias e acompanhamento da produção. Foto: Haluko Massago
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17902%5D%7B298%7Dtabela_biometria.jpg,Exemplo de tabela de acompanhamento da biometria. Autor: Bruno Corrêa da Silva
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17903%5D%7B53%7Dalimentador_1.jpg,Alimentador flutuante. Foto: Haluko Massago
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17903%5D%7B474%7Dalimentador_2.jpg,Alimentador para tratores ou microtratores. Foto: Haluko Massago
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17905%5D%7B493%7Dfotos_ninphea.jpg,Florescimento de ninféiaBruno Corrêa da Silva
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17905%5D%7B190%7Dflorescimento_de_aguape.jpg,Florescimento de aguapéBruno Corrêa da Silva
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17905%5D%7B475%7Dflorescimento_de_lemna.jpg,Florescimento de lemnaBruno Corrêa da Silva
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17905%5D%7B288%7Dflorescimento_de_microalga_euglena_sanguinea.jpg,Florescimento de microalga (Euglena sanguinea)Bruno Corrêa da Silva
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17905%5D%7B319%7Dflorescimento_de_cianobacteria.jpg,Florescimento de cianobactériasBruno Corrêa da Silva
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17906%5D%7B329%7Daves_1.jpg,Aves comumente encontradas em pisciculturas com potencial de causarem prejuízos. Foto: Ofélia Maria Campigotto
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17906%5D%7B227%7Daves_3.jpg,Aves comumente encontradas em pisciculturas com potencial de causarem prejuízos. Foto: Ofélia Maria Campigotto
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17906%5D%7B345%7Daves_2.jpg,Aves comumente encontradas em pisciculturas com potencial de causarem prejuízos. Foto: Ofélia Maria Campigotto
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17906%5D%7B516%7Dpredadores_1.jpg,Predadores aquáticos de alevinos que podem ser encontrados no viveiro. Foto: Ofélia Maria Campigotto
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17906%5D%7B241%7Dpredadores_3.jpg,Predadores aquáticos de alevinos que podem ser encontrados no viveiro. Foto: Ofélia Maria Campigotto
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17906%5D%7B462%7Dpredadores_2.jpg,Predadores aquáticos de alevinos que podem ser encontrados no viveiro. Foto: Haluko Massago
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17906%5D%7B472%7Dlambari.jpg,LambariFoto: Ofélia Maria Campigotto
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17906%5D%7B443%7Dtuvira.jpg,TuviraFoto: Ofélia Maria Campigotto
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17907%5D%7B238%7Ddespesca_2.jpg,Manejo da despesca e transferência. Foto: Bruno Corrêa da Silva
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17907%5D%7B205%7Ddespesca_1.jpg,Manejo da despesca e transferência. Foto: Bruno Corrêa da Silva
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17918%5D%7B536%7Dinchaco_2.jpg,Tilápia com inchaço abdominal devido ao excesso de alimento. Foto: Bruno Corrêa da Silva
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17918%5D%7B284%7Dinchaco_1.jpg,Tilápia com inchaço abdominal devido ao excesso de alimento. Foto: Bruno Corrêa da Silva
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17918%5D%7B280%7Dtabela_de_alimentacao.jpg,TABELA DE ALIMENTAÇÃO PARA TILÁPIA. Fonte: Bruno Corrêa da Silva
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17919%5D%7B68%7Dtilapia_1.jpg,Tilápia do programa de melhoramento da Epagri. Foto: Haluko Massago
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17919%5D%7B116%7Dtilapia_3.jpg,Tilápia do programa de melhoramento da Epagri. Foto: Haluko Massago
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17919%5D%7B444%7Dtilapia_2.jpg,Tilápia do programa de melhoramento da Epagri. Foto: Haluko Massago
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17919%5D%7B143%7Dalevino_1.jpg,Qualidade do alevino. Foto: Leandro Bortoli
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17919%5D%7B205%7Dalevino_4.jpg,Qualidade do alevino. Foto: Haluko Massago
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17919%5D%7B301%7Dalevino_3.jpg,Qualidade do alevino. Foto: Haluko Massago
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17919%5D%7B6%7Dalevino_2.jpg,Qualidade do alevino. Foto: Haluko Massago
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17919%5D%7B169%7Dcaixa_-_copia.jpg,(A) Caixas de transporte (transfish). Foto: Bruno Corrêa da Silva
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17919%5D%7B35%7Dcaixa.jpg,(B) Sacos plásticos.Foto: Bruno Corrêa da Silva
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17919%5D%7B242%7Dquantidade_de.jpg,Quantidades adequadas de peixe para o transporte em cada sistema. Fonte: Bruno Corrêa da Silva
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17917%5D%7B273%7Dbercario.jpg,Sistema monofásico e bifásico. Foto: Bruno Corrêa da Silva
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B17917%5D%7B95%7Dbercario_1.jpg,Viveiro de 600m² utilizado como berçário de tilápia em Massaranduba-SC. Foto: Bruno Corrêa da Silva
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B9731%5D%7B73%7D16.jpg,Anéis cloróticos foliares típicos da doença. Foto: Alice Kazuko Inoue-Nagata (Ciclo de Palestras sobre Manejo Fitossanitário do Tomateiro).
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B9732%5D%7B271%7D18.jpg,Sintomas da virose em folhas do tomateiro. Foto: Alice Kazuko Inoue-Nagata (Ciclo de Palestras sobre Manejo Fitossanitário do Tomateiro).
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B9733%5D%7B137%7D20.jpg,Sintomas típicos da doença nas folhas. Foto: Alice Kazuko Inoue-Nagata (Ciclo de Palestras sobre Manejo Fitossanitário do Tomateiro).
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B9755%5D%7B300%7Dmancha_alvo_2.jpg,Sintomas da doença em frutos. Foto: Valdir Lourenço Junior (Ciclo de Palestras sobre Manejo Fitossanitário do Tomateiro).
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B9755%5D%7B66%7Dmancha_alvo_3.jpg,Sintomas em frutos. Foto: Valdir Lourenço Junior (Ciclo de Palestras sobre Manejo Fitossanitário do Tomateiro).
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B9755%5D%7B410%7Dmancha_alvo.jpg,Sintomas nas folhas. Foto: Valdir Lourenço Junior (Ciclo de Palestras sobre Manejo Fitossanitário do Tomateiro).
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B11017%5D%7B276%7Dtomate.jpg,Recomendação de plantio para a cultura do tomate. Fonte: THOMÉ et al. 1998
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B11017%5D%7B313%7Dtomate.jpg,Zoneamento Agrícola da cultura do tomate para o Estado de Santa Catarina - Safra 2009/2010. Fonte: Epagri/Ciram
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B6688%5D%7B283%7D%5B683%5D%7B268%7D20181029_160904.jpg,Barreira vegetal feita de Flemingia. Foto: Rafael G. F. Morales
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B6688%5D%7B55%7D49.jpg,Uso de quebra-vento próximo a abrigos de cultivo para proteção da estrutura. Foto: Rafael G. F. Morales
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B6692%5D%7B4%7D50.jpg,"Sobreposição de 1 metro do filme agrícola quando esticado na transversal. Fonte: Morales et al., 2019."
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B6692%5D%7B101%7D51.jpg,"Visão superior após a colocação do filme agrícola. Fonte: Morales et al., 2019."
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B6692%5D%7B396%7D52.jpg,"Colocação do plástico em abrigos de cultivo. Dia de sol, com o céu limpo e ausência de ventos fortes. Fonte: Morales et al., 2019."
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B6692%5D%7B515%7D53.jpg,"Arames esticados longitudinalmente ao abrigo para redução da vibração do plástico pela ação do vento e para aumento da sua durabilidade. Fonte: Morales et al., 2019."
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B6692%5D%7B362%7D54.jpg,"Limpeza do plástico de cobertura com espuma fixada a uma haste de bambu (superior) e com o uso de tela (inferior), ambos na presença de jato da água. Fonte: Morales et al., 2019."
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B6691%5D%7B116%7D68.jpg,"Telas de sombreamento mais comumente utilizadas no cultivo de plantas: tela preta. Fonte: Morales et al., 2019."
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B6691%5D%7B99%7D69.jpg,"Telas de sombreamento mais comumente utilizadas no cultivo de plantas: tela aluminizada. Fonte: Morales et al., 2019."
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B6691%5D%7B7%7D70.jpg,"Telas de sombreamento mais comumente utilizadas no cultivo de plantas: tela colorida. Fonte: Morales et al., 2019."
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B6691%5D%7B322%7D72.jpg,"Desgaste da tela aluminizada depois de um ano de uso. Fonte: Morales et al., 2019."
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B6691%5D%7B437%7D71.jpg,"Tela de sombreamento vermelha desbotada pelo sol depois de 6 meses de uso. Fonte: Morales et al., 2019."
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B6690%5D%7B244%7D58.jpg,"Abrigo de cultivo fechado lateralmente com tela tipo citrus, com malha de 1,0x1,0mm. Foto: Euclides Schallenberger"
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B6690%5D%7B332%7D57.jpg,"Tela lateral do tipo clarite (esquerda), tipo citrus (centro) e anti-inseto (direita) para revestimento lateral e frontal dos abrigos de cultivo. Fonte: www.ginegar.com.br / 2019."
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B6686%5D%7B38%7Dimg_4212.jpg,Abrigo de cultivo feito com pé direito de concreto e arcos em aço galvanizado a fogo. Foto: Rafael G. F. Morales
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B6686%5D%7B257%7D68.jpg,Colocação do plástico em abrigo de cultivo feito com pé direito de concreto e arcos em aço galvanizado a fogo. Foto: Rafael G. F. Morales
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B6686%5D%7B271%7Dimg_20170316_152914387_hdr.jpg,Modelo de abrigo de cultivo feito com pé direito de madeira e arco metálico. Foto: Rafael G. F. Morales
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B6686%5D%7B177%7Dimg-20190126-wa0015.jpg,Modelo de abrigo de cultivo geminado feito com pé direito de madeira e arco em aço galvanizado. Foto: Rafael G. F. Morales
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B6686%5D%7B55%7Dimg_4669.jpg,"Visão detalhada da amarração lateral do metal no concreto após a colocação do plástico, formando um beirado lateral para proteção da água da chuva. Foto: Rafael G. F. Morales"
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B6686%5D%7B483%7Dimg_4655.jpg,"Visão detalhada da amarração lateral do metal no concreto, formando um beirado lateral para proteção da água da chuva. Foto: Rafael G. F. Morales"
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B6686%5D%7B171%7Dimg_4357.jpg,Visão superior da estrutura híbrida finalizada. Foto: Rafael G. F. Morales
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B6631%5D%7B458%7D1.jpg,"Diagrama da conformidade orgânica das UPO, acesso ao mercado, tipos de entidades certificadoras e uso do selo orgânico. Fonte: Morales et al., 2019."
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B6631%5D%7B360%7D9.jpg,"Selo de identi fi cação da Rede de Agroecologia Ecovida. Fonte: Morales et al., 2019."
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B6631%5D%7B509%7D8.jpg,"Selo de identificação da Associação. Fonte: Morales et al., 2019."
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B6631%5D%7B352%7D2.jpg,"Diagrama do processo de certificação por empresas de auditoria.Fonte: Morales et al., 2019."
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B6631%5D%7B442%7D7.jpg,"Selo de identificação da Ecocert Brasil Certificadora Ltda. Fonte: Morales et al., 2019."
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B6631%5D%7B53%7D6.jpg,"Selo de identificação da Cugnier Certificadora EIRELI. Fonte: Morales et al., 2019."
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B6631%5D%7B148%7D5.jpg,"Selo de identificação da Kiwa Bcs oko-garantie do Brasil Ltda. Fonte: Morales et al., 2019."
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B6631%5D%7B179%7D4.jpg,"Selo de identificação da Associação de Certificação Instituto Biodinâmico. Fonte: Morales et al., 2019."
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B6631%5D%7B317%7D3.jpg,"Selo de identificação da IMO Control do Brasil. Fonte: Morales et al., 2019."
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B6637%5D%7B188%7D10.jpg,"Selo SisOrg Orgânico Brasil.Fonte: Morales et al., 2019."
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B1969%5D%7B492%7D%5B1969%5D%7B363%7D66-4.jpg,Diluição do cobre em metade do volume final da calda bordalesa. Foto: Rafael G. F. Morales
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B1969%5D%7B83%7D%5B1969%5D%7B363%7D66-4.jpg,Diluição do cobre em metade do volume final da calda bordalesa. Foto: Rafael G. F. Morales
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B1969%5D%7B55%7D%5B1969%5D%7B420%7D66-6.jpg,Medição do pH da calda com peagâmetro digital. Foto: Rafael G. F. Morales
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B1969%5D%7B216%7D%5B1969%5D%7B36%7D67-8.jpg,Medição do pH do “leite” de cal. Foto: Rafael G. F. Morales
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B1969%5D%7B289%7D%5B1969%5D%7B134%7D66-1.jpg,Pesagem do sulfato de cobre moído para o preparo da calda. Foto: Rafael G. F. Morales
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B1969%5D%7B39%7D%5B1969%5D%7B270%7D66-2.jpg,Pesagem do sulfato de cobre moído para o preparo da calda. Foto: Rafael G. F. Morales
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B1969%5D%7B245%7D%5B1969%5D%7B240%7D66-5.jpg,Vasilha com capacidade superior a 20% do volume final da calda. Foto: Rafael G. F. Morales
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B1969%5D%7B136%7D%5B1969%5D%7B311%7D67-3.jpg,Diluição da cal. Foto: Rafael G. F. Morales
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B1969%5D%7B331%7D%5B1969%5D%7B23%7D67-6.jpg,Diluição da cal queimada no volume inicial pré-estabelecido. Foto: Rafael G. F. Morales
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B1969%5D%7B147%7D%5B1969%5D%7B233%7D67-4.jpg,Filtragem. Foto: Rafael G. F. Morales
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B1969%5D%7B176%7D%5B1969%5D%7B36%7D67-8.jpg,Medição do pH do leite de cal. Foto: Rafael G. F. Morales
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B1969%5D%7B307%7D%5B1969%5D%7B103%7D67-1.jpg,Pesagem da cal em copo plástico. Foto: Rafael G. F. Morales
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B1969%5D%7B364%7D%5B1969%5D%7B443%7D67-2.jpg,Queima da cal com um pouco de água. Foto: Rafael G. F. Morales
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B1969%5D%7B426%7D%5B1969%5D%7B27%7D67-5.jpg,Resíduo de cal na peneira. Foto: Rafael G. F. Morales
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B1969%5D%7B277%7D%5B1969%5D%7B346%7D67-7.jpg,Volume final do leite de cal. Foto: Rafael G. F. Morales
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B1969%5D%7B123%7D%5B1969%5D%7B312%7D68-2.jpg,Controle do pH com peagâmetro digital. Foto: Rafael G. F. Morales
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B1969%5D%7B363%7D%5B1969%5D%7B135%7D68-3.jpg,Uso de fitas indicadoras para o controle do pH durante o preparo da calda bordalesa. Foto: José Angelo Rebelo
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B1969%5D%7B226%7D%5B1969%5D%7B384%7D68-1.jpg,Uso do “leite” de cal na solução de sulfato de cobre. Foto: Rafael G. F. Morales
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B1969%5D%7B300%7D%5B1969%5D%7B477%7D69-1.jpg,Complemento do volume da calda com água para compensar a sobra (se houver) de “leite” de cal após a obtenção de pH desejado. Foto: Rafael G. F. Morales
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B1969%5D%7B89%7D%5B1969%5D%7B301%7D69-2.jpg,Obtenção do volume final pré-estabelecido. Foto: Rafael G. F. Morales
https://intranetdoc.epagri.sc.gov.br/sedimob/arq_anexos/%5B1969%5D%7B459%7D%5B1969%5D%7B77%7D70.jpg,Coloração azul-celeste da calda bordalesa indicando que o pH está próximo a neutro. Foto: Rafael G. F. Morales
