Identificação Kauan,Doenças,Análise,Descrição
img_3,11,Descrição incorreta. Atribuiu agente causal de outra doença. Manejo inadequado. Há uma insistência em atribuir os mesmos agentes causais a todas as doenças. Inventou nome de doença.,"Observa-se uma touceira (família) de bananeira caracterizada por uma ausência completa da prática de desbaste, resultando em um acúmulo excessivo de perfilhos em diferentes estágios de desenvolvimento. A cena foca na base dos pseudocaules, onde se evidencia uma densa aglomeração de múltiplos rebentos (filhos) que brotam do rizoma comum. Estes perfilhos competem intensamente entre si e com a planta-mãe pelo acesso a recursos vitais como água, nutrientes e luz solar, uma condição que compromete severamente o potencial produtivo da unidade. Tecnicamente, a falta de manejo dos perfilhos impede a formação de uma ""família"" estruturada (comumente mãe-filha-neta), levando ao enfraquecimento geral da touceira, à redução do tamanho e peso dos cachos futuros, ao prolongamento do ciclo produtivo e a um maior esgotamento do solo e do rizoma. Os pseudocaules exibem a coloração e textura típicas, com bainhas foliares secas e aderidas, enquanto o solo ao redor está coberto por uma camada de serapilheira, indicando decomposição de matéria orgânica, mas esta condição benéfica do solo não mitiga os efeitos negativos da competição intraespecífica exacerbada pela falta de desbaste."
img_7,12,Descrição incorreta. Atribuiu agente causal de outra doença. Manejo inadequado. Há uma insistência em atribuir os mesmos agentes causais a todas as doenças. Sempre coloca o Fusarium como o agente causal.,"Pseudocaule remanescente de uma bananeira recém-colhida, evidenciando o corte transversal superior, de aspecto fibroso e irregular, com exsudação de seiva, resultante da operação de remoção do cacho e da porção foliar da planta-mãe. A estrutura cilíndrica apresenta uma coloração bege-acastanhada e bainhas foliares externas começando a se desprender em sua base, um processo natural pós-colheita. O solo no entorno está coberto por uma densa camada de serapilheira, composta por restos de folhas e outras partes da bananeira em decomposição, o que caracteriza um manejo que visa à ciclagem de nutrientes e à conservação da umidade. Ao fundo, a disposição ordenada de outras bananeiras em fileiras, algumas intactas e outras também colhidas, confirma que se trata de um bananal sob um sistema de cultivo organizado e tecnicamente manejado, onde o pseudocaule colhido cumprirá a função de devolver matéria orgânica e nutrientes ao solo, beneficiando o desenvolvimento do perfilho sucessor."
img_8,13,Descrição incorreta. Atribuiu agente causal de outra doença. Manejo inadequado. Há uma insistência em atribuir os mesmos agentes causais a todas as doenças. Sempre coloca o Fusarium como o agente causal.,"Corte transversal do pseudocaule de uma bananeira severamente infestado e danificado por um moleque-da-bananeira (Cosmopolites sordidus), evidenciando extensas galerias, necrose do tecido e a presença do inseto adulto preto, o que compromete a integridade estrutural, o transporte de nutrientes e resulta em perdas significativas na cultura da banana."
img_12,14,Descrição incorreta. Atribuiu agente causal de outra doença. Manejo inadequado. Há uma insistência em atribuir os mesmos agentes causais a todas as doenças. Sempre coloca o Fusarium como o agente causal.,"Penca de bananas em fase imatura (verdes) exibindo danos severos e característicos causados pela infestação do Tripes-da-ferrugem (Bradinothrips musae (Hood, 1956); Chaetanaphothrips spp.; Elixothrips brevisetis (Bagnall 1919); Caliothrips bicinctus (Bagnall); Tryphactothrips lineatus (Hood 1927). Ordem: Thysanoptera Família: Thripidae). O exocarpo (casca) dos frutos apresenta extensas lesões superficiais de coloração marrom-avermelhada a acobreada, com aspecto ""enferrujado"", que se manifestam como estrias e manchas alongadas seguindo a curvatura das bananas. Este dano é o resultado direto da atividade alimentar do inseto, que raspa as células epidérmicas para sugar a seiva, provocando a ruptura celular, oxidação dos tecidos e a subsequente formação de um tecido cicatricial áspero e rugoso, um processo conhecido como suberização. Este sintoma contrasta fortemente com as áreas sadias da casca, que mantêm sua coloração verde-clara e superfície lisa. Embora o dano seja primariamente estético e não comprometa a polpa ou a qualidade interna do fruto para consumo, a intensa depreciação visual inviabiliza completamente a sua comercialização para o mercado de frutas frescas."
img_17,15,Descrição incorreta e doença inexistente. Repetiu a informação várias vezes na resposta.,"Fruto de bananeira em fase de desenvolvimento, onde se observam danos característicos causados pelo Trips-da-Erupção (Frankliniella spp. Ordem: Thysanoptera Família: Thripidae), que se manifestam como inúmeras lesões pontuais, pequenas e discretas, de coloração marrom-escura a preta, dispersas irregularmente sobre a epiderme verde e lisa do fruto. Cada ponto representa uma injúria necrótica resultante da atividade de alimentação do inseto, que raspa e suga o conteúdo das células superficiais da casca, levando à morte celular e à posterior formação de um tecido cicatricial suberoso (cortiçoso). Essa reação da planta confere às lesões uma textura ligeiramente elevada ou rugosa, originando o nome popular ""erupção"". Embora o dano seja estritamente estético e não comprometa a qualidade da polpa, a intensa pontuação na casca deprecia significativamente o valor comercial do fruto, tornando-o inadequado para o mercado de frutas frescas."
img_18,16,"Algo dos sintomas correto, mas colocou uma doeçna vitótica e descreveu uma fúngica de forma genérica. Descrições semelhantes para todas as doenças.","Folha de bananeira severamente afetada pela doença fúngica conhecida como Mancha de Cordana (causada por Cordana musae), caracterizada por lesões conspícuas, tipicamente grandes, de formato oval a irregular, que frequentemente apresentam um padrão zonate ou de ""olho de boi"" com anéis concêntricos de coloração variando do centro mais claro (castanho-claro ou bege) para bordas mais escuras (marrom-escuras); estas lesões estão irregularmente espalhadas pela superfície da folha, que possui a forma larga e alongada típica da bananeira com uma nervura central proeminente, demonstrando um estágio avançado da infecção que reduz significativamente a área fotossintética funcional e pode causar amarelecimento e necrose extensa do tecido foliar, com possíveis ondulações ou deformações nas bordas da folha, tudo isso em um contexto de vegetação verde desfocada ao fundo, sugerindo um ambiente de plantação, sob iluminação natural que realça as texturas e cores das lesões."
img_19,17,É uma praga e tratou como doença. Descrição incorreta. Atribuiu agente causal de outra doença. Manejo inadequado. Há uma insistência em atribuir os mesmos agentes causais a todas as doenças. Sempre coloca o Fusarium como o agente causal.,"Infestação severa de ácaro-de-teia (Tetranychus abacae (Baker & Printchard); Tetranychus desertorum (Banks) Ordem: Acari Família: Tetranychidae) sobre tecido foliar de bananeira, que exibe uma intensa clorose generalizada, manifestada por uma coloração amarelo-dourada intercalada por estrias escuras de necrose, resultante da sucção contínua do conteúdo celular pelo artrópode; no quadrante inferior esquerdo, um ácaro adulto é visível, destacando-se por seu corpo piriforme e uma dicromia acentuada com a região anterior marrom-avermelhada e a posterior escura, sendo a severidade da infestação confirmada pela presença de múltiplos ovos esféricos e translúcidos dispersos pela superfície, além de finíssimas teias de seda que, em conjunto, evidenciam um dano avançado que compromete a área fotossintética da folha."
img_20,18,"Parcialmente correta na descrição, aqui o agente causal é Fusarium, mas o nome da doença está incorreto.","Corte transversal de um pseudocaule de bananeira severamente acometido pelo Mal-do-Panamá, causado pelo fungo Fusarium oxysporum f. sp. cubense (Foc), revelando como sintoma patognomônico a necrose e a intensa descoloração marrom-avermelhada a quase negra dos feixes vasculares, que se manifestam como pontos e anéis descontínuos distribuídos pelo xilema, decorrente do colapso e obstrução dos vasos condutores pelo crescimento micelial do patógeno e pela produção de tiloses e gomas pela planta em resposta à infecção, contrastando com as bainhas foliares mais externas e as áreas de parênquima ainda sadias, que mantêm uma coloração branco-creme, evidenciando o comprometimento sistêmico do transporte de água e nutrientes que leva ao colapso da planta."
img_22,19,Descrição errada e repetida várias vezes,"Folha de bananeira exibindo sintomas patognomônicos da virose do Mosaico da Bananeira (causada por vírus como o BMV - Banana Mosaic Virus), caracterizada por um padrão de mosqueamento com estrias e manchas cloróticas irregulares, de coloração verde-claro a amarelo-esverdeado, que contrastam nitidamente com o tecido verde-escuro sadio da lâmina foliar, evidenciando uma desorganização da clorofila que compromete a capacidade fotossintética da planta."
img_23,20,Descrição incorreta. Atribuiu agente causal de outra doença. Manejo inadequado. Há uma insistência em atribuir os mesmos agentes causais a todas as doenças. Sempre coloca o Fusarium como o agente causal.,"Em detalhe macroscópico um moleque-da-bananeira (Cosmopolites sordidus) no estágio final do processo de controle biológico, completamente recoberto por uma densa e cotonosa massa de micélio e conídios de coloração branca, característica da esporulação e crescimento micelial do fungo entomopatogênico Beauveria bassiana sobre o corpo mumificado do inseto-praga, evidenciando a ação letal do patógeno que, ao se multiplicar, utiliza o hospedeiro como substrato para a disseminação das estruturas fúngicas no agroecossistema da bananeira."
img_24,21,Descrição incorreta. Manejo inadequado. ,"Folha de bananeira severamente afetada pela Sigatoka Amarela (Mycosphaerella musicola), onde se observam numerosas lesões características: inicialmente como pequenas estrias ou manchas pálidas e amareladas que evoluem para lesões necróticas mais definidas, de formato oval a alongado ou fusiforme, com centros de coloração castanho-claro a cinza-claro e bordas marrom-escuras ou pretas, frequentemente circundadas por um halo amarelo conspícuo; essas lesões estão densamente distribuídas e, em algumas áreas, coalescem, formando grandes manchas necróticas que levam ao amarelecimento (clorose) generalizado e à seca prematura de extensas porções da lâmina foliar, comprometendo drasticamente a capacidade fotossintética da planta, tudo isso em um cenário de plantação com vegetação verde ao fundo."
img_25,22,Descrição incorreta. Manejo inadequado. ,"Superfície adaxial de uma folha de bananeira (Musa spp.) em estágio avançado de infecção pela Sigatoka Negra, causada pelo fungo Mycosphaerella fijiensis (anamorfo: Pseudocercospora fijiensis), onde se observam extensas lesões necróticas de coloração marrom-escura a preta, resultantes da coalescência de estrias que progridem de forma paralela às nervuras da folha, contrastando com o tecido foliar sadio remanescente e com halos cloróticos que indicam a contínua expansão da doença, um quadro que evidencia a severa destruição do parênquima fotossintético e o consequente comprometimento drástico da capacidade produtiva da planta."
img_26,23,Descrição incorreta. Manejo inadequado. Doença inexistente. ,"Folhas de bananeira severamente acometidas pela Sigatoka Amarela (Mycosphaerella musicola), onde se observam numerosas lesões que evoluíram de pequenas estrias amareladas para manchas elípticas ou fusiformes, com centros de coloração castanho-claro a acinzentado e bordas marrom-escuras bem definidas, frequentemente circundadas por um halo amarelo intenso; essas lesões estão densamente distribuídas, muitas coalescendo e formando grandes áreas necróticas que causam um amarelecimento generalizado e a secagem prematura das folhas, reduzindo drasticamente a área fotossintética, tudo isso com vegetação verde típica da cultura da banana ao fundo, e a iluminação ressaltando os detalhes e a severidade dos sintomas."
img_34,24,Descrição incorreta. Manejo inadequado. Doença inexistente. ,"Cacho de bananas em fase de desenvolvimento, firmemente ligado ao pseudocaule, onde se observam múltiplas pencas com frutos verdes e imaturos, destacando-se a presença da inflorescência masculina terminal (conhecida como ""coração"" ou ""mangará""), o que caracteriza o exato momento fenológico para a execução da ""poda de penca"", prática cultural que envolve a remoção desta última estrutura e, frequentemente, das últimas pencas menores para concentrar os fotoassimilados da planta no desenvolvimento e padronização dos frutos de maior valor comercial que permanecerão no cacho até a colheita."
img_40,25,"Não é doença, é manejo. Descrição incorreta.","Desbrota na cultura da banana, ilustrando a aplicação precisa de um desbrotador manual, ferramenta metálica conhecida como ""Lurdinha"" ou ""sacador de gemas"", no centro da gema apical de um perfilho (rebento) recém-seccionado rente ao solo, uma prática de manejo cultural essencial que visa à destruição do meristema para impedir a regeneração de brotos indesejados, otimizando a alocação de nutrientes e água para a planta-mãe e o perfilho seguidor selecionado, garantindo assim maior vigor e produtividade do bananal."
img_41,26,"Não é doença, é manejo. Descrição incorreta. Insistência em Fusarium","Desbrota na cultura da banana, ilustrando a aplicação precisa de um desbrotador manual, ferramenta metálica conhecida como ""Lurdinha"" ou ""sacador de gemas"", no centro da gema apical de um perfilho (rebento) recém-seccionado rente ao solo, uma prática de manejo cultural essencial que visa à destruição do meristema para impedir a regeneração de brotos indesejados, otimizando a alocação de nutrientes e água para a planta-mãe e o perfilho seguidor selecionado, garantindo assim maior vigor e produtividade do bananal."
img_42,27,"Não é doença, é manejo. Descrição incorreta. Insistência em Fusarium","Desbrota na cultura da banana, ilustrando a aplicação precisa de um desbrotador manual, ferramenta metálica conhecida como ""Lurdinha"" ou ""sacador de gemas"", no centro da gema apical de um perfilho (rebento) recém-seccionado rente ao solo, uma prática de manejo cultural essencial que visa à destruição do meristema para impedir a regeneração de brotos indesejados, otimizando a alocação de nutrientes e água para a planta-mãe e o perfilho seguidor selecionado, garantindo assim maior vigor e produtividade do bananal."
img_89,28,Descrição incorreta. Manejo inadequado. Doença inexistente. ,"Pencas de bananas em estágio de maturação inicial a intermediário, apresentando severos e múltiplos danos mecânicos na casca, característicos de injúrias por excesso de acondicionamento em caixa (over-packing), cujas lesões incluem extensas áreas de contusão (manchas escuras resultantes da oxidação de tecidos por compressão) e, de forma mais proeminente, lacerações e esfoliações profundas onde a casca foi rompida e destacada, expondo o tecido fibroso subjacente, um padrão de dano que sugere pressão excessiva e atrito entre os frutos, comprometendo drasticamente a qualidade comercial e aumentando a susceptibilidade à deterioração pós-colheita."
img_99,29,"Não é doença, é manejo. Descrição incorreta. Insistência em Fusarium","Pencas de bananas verdes exibindo múltiplos e severos danos mecânicos decorrentes de acondicionamento inadequado, caracterizados por contusões de impacto que resultaram em necrose tecidual (manchas escuras), lesões por abrasão e pressão contínua (manchas de coloração clara e bordas irregulares), com um quadro agravado pela umidade excessiva retida pelo invólucro plástico, que, por não oferecer suporte estrutural adequado, falhou em prevenir a compressão e o atrito entre os frutos durante o manuseio e transporte."
img_116,30,"Não é doença, é manejo. Descrição incorreta. Insistência em Fusarium","Penca de bananas em estágio avançado de maturação, cuja casca apresenta uma coloração amarela acentuadamente opaca, sem brilho e com perda de turgor, acompanhada por múltiplas manchas escuras puntiformes (pitting), sintomatologia clássica do dano fisiológico por frio (chilling injury) e desidratação, resultantes da exposição a baixas temperaturas e umidade relativa inadequada durante o processo de climatização em câmara."
img_117,31,"Não é doença, é escala de maturação. Descrição incorreta. Insistência em Fusarium","Progressão fisiológica dos graus de maturação da banana, iniciando com o fruto no estágio completamente verde, de perfil angular e casca firme, indicando máxima concentração de clorofila e amido na polpa; evoluindo para a fase de transição verde-amarelada, onde a degradação da clorofila expõe os carotenoides e inicia-se a conversão enzimática de amido em açúcares; atingindo o ponto de maturação ideal com uma coloração amarela uniforme, textura macia e perfil arredondado, significando o pico de doçura e desenvolvimento de compostos aromáticos; e avançando para a senescência, caracterizada pelo surgimento de máculas escuras na casca, que denotam uma alta concentração de açúcares e o início do amolecimento excessivo da polpa, culminando no escurecimento total da casca e na degradação tecidual do fruto."
img_118,32,"Não é doença, é escala de maturação. Descrição incorreta. ","Diagnóstico visual claro de injúria por frio (chilling injury) em bananas submetidas à climatização, onde os frutos, seccionados longitudinalmente em estágio pré-climatérico, revelam na polpa a manifestação severa do dano através de extensas e densas estrias longitudinais de coloração marrom-avermelhada nos tecidos vasculares, uma desordem fisiológica irreversível causada por baixas temperaturas que compromete drasticamente a qualidade interna e o valor comercial do produto."
img_119,33,"Não é doença, é praga. Descrição incorreta. ","Secção do rizoma (cormo) de uma bananeira severamente afetada pela moleque-da-bananeira (Cosmopolites sordidus), revelando um extenso comprometimento do tecido parenquimático que apresenta múltiplas galerias e túneis irregulares e sinuosos, característicos da atividade de alimentação das larvas do coleóptero, com coloração variando do marrom-avermelhado ao preto, indicando necrose e oxidação dos tecidos vegetais, frequentemente preenchidos por excrementos e resíduos, além de extensas áreas difusas de necrose profunda e putrefação que se espalham a partir das galerias, refletindo a degradação tecidual avançada e a possível infecção secundária por patógenos, comprometendo gravemente a integridade estrutural e funcional da planta."
img_121,34,"Não é doença, mas um procedimento preparatório para controle biológico. Insistência em Fusarium","Três painéis o processo de preparo e aplicação de uma armadilha atrativa para controle biológico do moleque-da-bananeira (Cosmopolites sordidus) utilizando o fungo entomopatogênico Beauveria bassiana, demonstrando: (A) a formulação da isca pela mistura do inóculo fúngico em pó com um veículo oleoso; (B) a pasta bioinseticida homogênea resultante e as iscas já moldadas em formato esférico; e (C) a aplicação estratégica de uma isca na base do pseudocaule de uma bananeira, visando atrair os adultos da praga para contato e infecção, como parte de um manejo biorracional."
img_122,35,"Não é doença, mas um procedimento preparatório para controle biológico. Insistência em Fusarium","Armadilha de feromônio, especificamente projetada e utilizada para o monitoramento e/ou captura massal da broca-do-rizoma ou moleque-da-bananeira (Cosmopolites sordidus), uma praga chave na cultura da banana, consistindo em um recipiente plástico branco, possivelmente uma bombona ou galão reutilizado, posicionado verticalmente sobre o solo em um ambiente agrícola típico de bananal, com uma abertura lateral de dimensões adequadas para permitir a entrada dos insetos adultos; internamente (visível na Imagem A e em destaque na Imagem B), encontra-se um dispositivo que combina atração visual e captura, caracterizado por uma placa ou superfície de cor amarela intensa, coberta por uma substância adesiva ou pegajosa, onde o feromônio específico para Cosmopolites sordidus (não visível, mas componente essencial deste tipo de armadilha) é liberado para atrair os adultos da praga, sendo que a cor amarela pode atuar como um co-atrativo visual, aumentando a eficiência da armadilha; a eficácia da armadilha é evidenciada pela presença de múltiplos insetos escuros, presumivelmente adultos do moleque-da-bananeira, aderidos tanto à placa amarela quanto ao fundo do recipiente; externamente, uma aba ou folha de material branco (possivelmente plástico ou papel) é disposta no solo, logo abaixo da abertura de entrada da armadilha, podendo ter a função de guiar os insetos em direção à entrada, facilitar seu acesso, ou ainda proteger a entrada de detritos e umidade excessiva do solo, além de possivelmente auxiliar na visualização de insetos que caiam; este tipo de armadilha é uma ferramenta crucial dentro de programas de Manejo Integrado de Pragas (MIP) para a bananicultura, pois permite o monitoramento da flutuação populacional da praga, a detecção de focos de infestação e a tomada de decisão sobre a necessidade e o momento ideal para a aplicação de medidas de controle, contribuindo para uma produção mais sustentável e com menor uso de inseticidas."
img_123,36,"Não é doença, mas um procedimento preparatório para controle biológico. Insistência em Fusarium","Armadilha de feromônio do tipo ""pseudocaule"" para monitoramento e controle do moleque-da-bananeira (Cosmopolites sordidus), detalhando em (A) a armadilha aberta, com um corte horizontal parcial no colmo que expõe o tecido interno úmido e o dispensador do atrativo químico, e em (B) a mesma armadilha em sua configuração fechada e operacional, onde uma fenda estreita permite a entrada do inseto, atraído sinergicamente pelo feromônio sintético e pelos voláteis liberados pela própria planta."
